album_id,nombre,fecha_lanzamiento
150,"CantÃ¡ndole al Amor, Vol. 2",21/10/2023
151,Ven DevÃ³rame Otra Vez (Baile Total),24/11/2017
152,SATURNO,24/01/2023
153,Presidente,21/10/2024
154,INCÃ“MODO,22/08/2024
155,NADIE,21/11/2024
156,Que Sigan Llegando Las Pacas (Extended),18/10/2024
157,Ã‰XODO,20/06/2024
158,Atento Aviso ... Rey Sin Reina,5/09/2024
159,Madonna,8/03/2024
160,$AD BOYZ 4 LIFE II,5/10/2023
161,PERO NO TE ENAMORES,25/07/2024
162,Mejores Jordans,30/07/2024
163,LOS CUADROS,8/08/2024
164,Giza,10/07/2024
165,LA ODISEA,7/11/2024
166,No Son Doritos,23/08/2024
167,Kamikaze (feat. Victor Mendivil),14/11/2024
168,Si No Quieres No,10/03/2024
169,PRESENTE,17/11/2023
170,Apaga El Cel,22/12/2023
171,Un Scar,11/11/2024
172,Vaquero (Remix),8/08/2024
173,Dolido Pero No Arrepentido,9/02/2024
174,Volver Al Futuro,30/05/2024
175,Hecha Pa' MÃ­,3/10/2024
176,No Hay Loco Que No Corone,26/09/2024
177,Corridos Pa Mis Compas Y Rolitas Pa Mi Ex,22/08/2024
178,Â¿QuiÃ©n?,24/10/2024
179,Ese Vato No Te Queda,24/10/2024
180,Por Las Damas,1/01/2002
181,AsÃ­ Es Esto,15/10/2012
182,12 Favoritas,1/01/2013
183,Ãconos 25 Ã‰xitos,1/01/2012
